message,severity,show_cmds,debug_cmds
"%OSPF-4-INVALIDNBRSTATE: Invalid neighbor state event 3, state EXSTART, Nbr 172.16.0.2",Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf interface, show ip ospf neighbor, show ip protocols, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf hello, debug ip ospf packets"
%SYS-5-BOOT: Image booted from flash:cat9k_iosxe.BLD_POLARIS_DEV_LATEST_2023.bin,Info,,
%SYS-5-USERLOG: User admin logged in from 10.2.1.1,Info,,
%SYS-5-LOGIN_SUCCESS: User admin successfully logged in from 10.2.1.2,Info,,
%SYS-5-RELOAD: Reload requested by admin,Info,,
"%OSPF-5-ADJCHG: Process 1, Nbr 10.2.2.2 on GigabitEthernet1 from LOADING to FULL, Loading Done",Info,"show run | section ospf, show ip ospf neighbor, show ip protocols, show ip ospf interface","debug ip routing, debug ip ospf hello, debug ip packet detail"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 192.168.1.1,Warning,"show cdp neighbors, show run | section ospf, show ip route ospf, show ip ospf neighbor, show lldp neighbors","debug ip ospf hello, debug ip packet detail, debug ip ospf adj"
"%OSPF-4-INVALIDNBRSTATE: Invalid neighbor state event 1, state EXCHANGE, Nbr 10.2.2.2",Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf neighbor, show ip protocols, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%SYS-5-USERLOG: User netops logged in from 10.3.3.3,Info,,
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 1.1.1.1 from 172.16.0.2 on interface GigabitEthernet1,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show lldp neighbors, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUPRID: Duplicate router ID 1.1.1.1 detected on interface GigabitEthernet1,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip protocols, show ip route ospf, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 2.2.2.2 from 172.16.0.2 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip ospf interface, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUPRID: Duplicate router ID 2.2.2.2 detected on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show ip protocols, show ip route ospf, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 2.2.2.2 from 10.1.1.1 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip ospf interface, show ip ospf neighbor, show ip route ospf, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%SYS-5-USERLOG: User admin logged in from 10.2.1.3,Info,,
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 1.1.1.1 from 10.2.2.2 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show run | sec router ospf, show run | section ospf","debug ip ospf hello, debug ip ospf packets"
"%OSPF-4-ERRRCV: Received invalid packet from 10.2.2.2 on Loopback0, Bad Checksum",Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip protocols, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 3.3.3.3 from 10.2.2.2 on interface Loopback0,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf neighbor, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUPRID: Duplicate router ID 2.2.2.2 detected on interface GigabitEthernet1,Critical,"sh run | sec interface, show clock, show ip access-list, show ip route ospf, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 10.1.1.1,Warning,"show ip ospf neighbor, show ip protocols, show ip ospf interface","debug ip packet detail, debug ip ospf events"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 2.2.2.2 from 172.16.0.2 on interface GigabitEthernet1,Critical,"sh run | sec interface, show clock, show ip access-list, show ip protocols, show ip route ospf, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-HELLOFAIL: Neighbor 10.1.1.1 not responding on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf neighbor, show ip protocols, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
"%OSPF-4-INVALIDNBRSTATE: Invalid neighbor state event 3, state INIT, Nbr 192.168.1.1",Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip ospf interface, show ip protocols, show ip route ospf, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%SYS-5-LOGIN_SUCCESS: User operator successfully logged in from 10.1.2.1,Info,,
%SYS-5-BOOT: Image booted from flash:nxos.9.3.8.bin,Info,,
"%OSPF-5-ADJCHG: Process 1, Nbr 10.2.2.2 on Loopback0 from LOADING to FULL, Loading Done",Info,"show ip route ospf, show lldp neighbors, show ip ospf interface, show ip ospf neighbor","debug ip routing, debug ip ospf hello"
%SYS-5-LOGGING: Enabled logging on VTY line,Info,,
"%OSPF-4-ERRRCV: Received invalid packet from 172.16.0.2 on GigabitEthernet1, Bad Checksum",Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip ospf neighbor, show ip protocols, show ip route ospf, show run | sec router ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
"%OSPF-4-ERRRCV: Received invalid packet from 10.2.2.2 on Loopback0, Bad Checksum",Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf neighbor, show ip protocols, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf hello, debug ip ospf packets"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 192.168.1.1,Warning,"show ip ospf interface, show cdp neighbors, show ip ospf database, show ip ospf neighbor","debug ip packet detail, debug ip ospf adj, debug ip ospf hello"
%OSPF-4-HELLOFAIL: Neighbor 172.16.0.2 not responding on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf neighbor, show lldp neighbors, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 2.2.2.2 from 192.168.1.1 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show ip ospf neighbor, show ip route ospf, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%SYS-5-EXITSHELL: User admin exited EXEC shell,Info,,
%SYS-5-RELOAD: Reload requested by admin,Info,,
"%OSPF-5-ADJCHG: Process 1, Nbr 192.168.1.1 on Loopback0 from FULL to DOWN, Neighbor Down: Dead timer expired",Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf database, show ip ospf neighbor, show run | sec router ospf","debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-AREAMISMATCH: Mismatch area ID 0.0.0.0 expected 0.0.0.1 from 10.2.2.2,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf database, show ip ospf neighbor, show ip protocols, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 3.3.3.3 from 10.1.1.1 on interface Loopback0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf database, show ip protocols, show lldp neighbors, show run | sec router ospf","debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
"%OSPF-4-INVALIDNBRSTATE: Invalid neighbor state event 3, state EXCHANGE, Nbr 10.1.1.1",Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 192.168.1.1,Warning,"show ip route ospf, show ip ospf interface, show lldp neighbors, show ip ospf neighbor, show cdp neighbors","debug ip ospf hello, debug ip routing"
"%OSPF-4-INVALIDNBRSTATE: Invalid neighbor state event 3, state EXSTART, Nbr 10.1.1.1",Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%SYS-5-STARTUP: System startup completed successfully,Info,,
"%OSPF-5-ADJCHG: Process 1, Nbr 10.2.2.2 on GigabitEthernet0/0 from LOADING to FULL, Loading Done",Info,"show ip protocols, show ip ospf neighbor, show run | section ospf","debug ip routing, debug ip ospf events, debug ip ospf adj"
%OSPF-4-HELLOFAIL: Neighbor 10.2.2.2 not responding on interface GigabitEthernet1,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip protocols, show ip route ospf, show lldp neighbors, show run | sec router ospf","debug ip ospf hello, debug ip ospf packets"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 172.16.0.2,Warning,"show ip ospf neighbor, show cdp neighbors, show ip ospf database, show ip ospf interface, show ip route ospf","debug ip ospf events, debug ip packet detail, debug ip ospf hello"
%OSPF-4-BADLSATYPE: Received LSA with invalid LS type 12 from 172.16.0.2,Critical,"sh run | sec interface, show clock, show ip access-list, show ip ospf database, show ip route ospf, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-HELLOFAIL: Neighbor 10.2.2.2 not responding on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-UNSUPTOS: Received packet with unsupported TOS on 172.16.0.2,Warning,"show ip route ospf, show cdp neighbors, show run | section ospf, show lldp neighbors","debug ip ospf adj, debug ip ospf events, debug ip ospf hello"
%SYS-5-EXITSHELL: User cisco exited EXEC shell,Info,,
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 1.1.1.1 from 192.168.1.1 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf interface, show ip protocols, show ip route ospf, show run | sec router ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-HELLOFAIL: Neighbor 172.16.0.2 not responding on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf database, show ip ospf interface, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf hello, debug ip ospf packets"
%OSPF-4-DUP_RTRID_NBR: OSPF detected duplicate router-id 3.3.3.3 from 10.2.2.2 on interface GigabitEthernet0/0,Critical,"sh run | sec interface, show cdp neighbors, show clock, show ip access-list, show ip ospf neighbor, show lldp neighbors, show run | sec router ospf, show run | section ospf","debug ip ospf adj, debug ip ospf events, debug ip ospf hello, debug ip ospf packets"
%SYS-5-STARTUP: System startup completed successfully,Info,,
%SYS-5-PRIV_AUTH: Authenticated user cisco to privileged EXEC mode,Info,,
%SYS-5-PRIV_AUTH: Authenticated user cisco to privileged EXEC mode,Info,,
%SYS-5-BOOT: Image booted from flash:c2960x-universalk9-mz.152-4.E6.bin,Info,,
%SYS-5-PRIV_AUTH: Authenticated user tech to privileged EXEC mode,Info,,
